Makanan,Karbohidrat,Protein,Sayur,Pengolahan
Sosis Bakar,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar
Ngohiong Ayam Udang,Tidak ada,Lainnya,Tidak,Goreng atau tumis
Rawon Ayam,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus
Usus Goreng Crispy,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Ceker Rica Rica,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Ceker Kecap Pedas,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Ayam Suwir Kecap,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Burung Puyuh Bakar,Tidak ada,Lainnya,Tidak,Panggang atau bakar
Dangkot Ayam,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Ayam Bumbu Merah,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Pempek Ayam,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus
Ngohiong Ayam,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Goreng atau tumis
Rica Rica Bebek,Tidak ada,Lainnya,Tidak,Rebus atau kukus
Ayam Rujak Tanpa Santan,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Daging Goreng,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Asam Pedas (Padeh) Daging,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Tongseng Kambing Tanpa Santan,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Saksang Ayam,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Ayam Goreng Madu,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Ayam Kecap,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Ayam Geprek Keju,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Chicken Basil Thai,Tidak ada,Ayam dan daging,Ya,Goreng atau tumis
Dumpling Ayam Kukus,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Tangsuyuk Sapi,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Kekian Ayam Udang,Tidak ada,Lainnya,Tidak,Goreng atau tumis
Yakitori Ayam,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar
Ayam Telur Asin,Tidak ada,Lainnya,Tidak,Goreng atau tumis
Ayam Kuah Hitam,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Korean Spicy Chicken,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Nasi Jinggo,Beras dan olahannya,Lainnya,Tidak,Lainnya
Bubur Ayam Quaker Oat,Lainnya,Ayam dan daging,Tidak,Rebus atau kukus
Lidah Sapi Cabe hijau,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Ayam Goreng Oatmeal,Lainnya,Ayam dan daging,Tidak,Goreng atau tumis
Burrito Ayam,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Panggang atau bakar
Ayam Kecap Kuah,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Ayam Kecap Pedas,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Ayam Bumbu Rajang (Khas Lombok),Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Gore Gore,Lainnya,Ayam dan daging,Tidak,Goreng atau tumis
Bakso Keju,"Tepung, Mie, dan Pasta",Lainnya,Ya,Rebus atau kukus
Tum Ayam,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Ayam Bakar Lumajang,Tidak ada,Ayam dan daging,Ya,Panggang atau bakar
Ayam Bakar Bumbu Rujak,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar
Ayam Panggang Pecel,Tidak ada,Ayam dan daging,Ya,Panggang atau bakar
Nasi Briyani Ayam,Beras dan olahannya,Ayam dan daging,Ya,Rebus atau kukus
Ayam Kodok,Tidak ada,Ayam dan daging,Tidak,Lainnya
Sepat Ayam,Tidak ada,Ayam dan daging,Ya,Panggang atau bakar
Tahu Campur,Beras dan olahannya,"Tahu, tempe, dan telur",Ya,Rebus atau kukus
Ayam Kecap Jahe,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Daging Bumbu Bali,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Ayam Bakar Klaten,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar
Ayam Goreng Cabe,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar
Ayam Kare Jawa,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Ayam Goreng Sasando,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Kalio Daging Sapi,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Tumis Ayam Cincang Nanas Paprika,Tidak ada,Ayam dan daging,Ya,Goreng atau tumis
Tim Telur Daging,Tidak ada,Lainnya,Tidak,Rebus atau kukus
Sate Ponorogo,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar
Ayam Rebus Bumbu,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Ayam Saus Inggris,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Ayam Tangkap,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Nasi Bebek,Beras dan olahannya,Lainnya,Ya,Goreng atau tumis
Sayap Ayam Isi,Tidak ada,Ayam dan daging,Ya,Goreng atau tumis
Sop Buntut Bakar,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus
Siomay Udang Kuah Kaldu,Lainnya,Ikan dan Seafood,Tidak,Rebus atau kukus
Batagor Kuah,"Tepung, Mie, dan Pasta",Lainnya,Ya,Goreng atau tumis
Ayam Goreng Bawang,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Ayam Goreng Terasi,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Ayam Suwir Cabe Ijo,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Ayam Panggang Madu,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar
Ayam Panggang Lada Hitam,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar
Dendeng Lambok,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Oseng Tahu Udang,Tidak ada,Lainnya,Tidak,Goreng atau tumis
Pallu Basa,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Egg Chicken Roll,Tidak ada,Lainnya,Tidak,Goreng atau tumis
Itiak Lado Mudo (Bebek Cabe Ijo),Tidak ada,Lainnya,Tidak,Goreng atau tumis
Tengkleng,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus
Sate Padang,Beras dan olahannya,Ayam dan daging,Tidak,Panggang atau bakar
Ayam Jerit,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Tumis Daging Sapi Cabe Ijo,Tidak ada,Ayam dan daging,Ya,Goreng atau tumis
Kalio Ayam,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Iga Penyet,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Sambal Goreng Hati Sapi,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Ayam Pelalah,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Krengsengan Daging Sapi,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Ayam Bekakak,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar
Ekkado,Tidak ada,Lainnya,Tidak,Goreng atau tumis
Gadon Daging,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Gulai Iga Sapi,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Ayam Saus Lemon,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Bistik Lidah Sapi,Lainnya,Ayam dan daging,Ya,Rebus atau kukus
Kebab,Lainnya,Ayam dan daging,Ya,Panggang atau bakar
Ayam Barbeque,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar
Ayam Lodho,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Ayam Gepuk,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Ayam Goreng KFC Krispi,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Ayam Gongso,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Spicy Chicken Wings (Richeese),Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Bebek Madura,Tidak ada,Lainnya,Tidak,Goreng atau tumis
Paru Goreng,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Pindang Daging Kudus,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Bebek Kaleyo,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Sate Maranggi,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar
Ayam Wijen Saus Mentega,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Babat Gongso,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Ayam Kecap Goreng Mentega,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Kari Kambing,Lainnya,Ayam dan daging,Tidak,Rebus atau kukus
Mie Kangkung Ayam,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus
Sambal Goreng Krecek,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Gyoza,"Tepung, Mie, dan Pasta",Lainnya,Ya,Rebus atau kukus
Sate Klopo,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar
Sop Ceker,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus
Sempol Ikan Tenggiri,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Goreng atau tumis
Bebek Goreng Surabaya,Tidak ada,Lainnya,Tidak,Goreng atau tumis
Ayam Kemangi,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus
Ayam Pok Pok,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Ayam Geprek (Tanpa Tepung),Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Ayam Geprek Jogja,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Goreng atau tumis
Bulgogi,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Ayam Penyet,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Dim Sum Ceker Ayam,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus
Tumis Buncis Daging Giling,Tidak ada,Ayam dan daging,Ya,Goreng atau tumis
Ayam Goreng Tulang Lunak,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Ayam Goreng Kalasan,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Sate Kambing,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar
Pindang Tulang Iga,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus
Ayam Bakar Padang,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar
Ayam Sambal Matah,Tidak ada,Ayam dan daging,Ya,Goreng atau tumis
Ayam Lada Hitam,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Ayam Bakar Bumbu Bali,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar
Bakso Ayam,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus
Brongkos,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus
Abon Sapi,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Ayam Bakar Bumbu Kuning,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar
Galantin Ayam,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Ayam Nasu Palekko,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Bistik Ayam,Lainnya,Ayam dan daging,Ya,Rebus atau kukus
Gulai Ayam Padang,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Rendang Ayam,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Semur Hati Ampela Ayam,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Ayam Bakar Kecap,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar
Opor Ayam Putih,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Galantin Daging Sapi,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Pecel Ayam,Beras dan olahannya,Ayam dan daging,Ya,Goreng atau tumis
Ayam Taliwang,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Sambal Goreng Ati Ampela,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Ayam Karage,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Goreng atau tumis
Ayam Nanking,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Goreng atau tumis
Rendang Daging Sapi Padang,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Sop Saudara,Lainnya,Ayam dan daging,Ya,Rebus atau kukus
Ayam Kremes,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Usus Ayam Tumis Pedas Manis,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Ayam Kungpao,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Terik Daging Tahu Tempe,Tidak ada,Lainnya,Tidak,Rebus atau kukus
Beef Steak Tenderloin Blackpepper Sauce,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar
Chicken (Ayam) Teriyaki,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Ayam Betutu,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Beef Daging Teriyaki,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Steak Ayam Brown Sauce ( Chicken Steak ),Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Seblak Ceker,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus
Ayam Pop,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Tongseng Ayam,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Dendeng Balado,Tidak ada,Ayam dan daging,Tidak,Lainnya
Ayam Balado,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Semur Daging Sapi,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Rolade Daging Sapi,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Goreng atau tumis
Daging Sapi Paprika Lada Hitam,Tidak ada,Ayam dan daging,Ya,Goreng atau tumis
Siomay Ayam Udang Dimsum,"Tepung, Mie, dan Pasta",Lainnya,Ya,Rebus atau kukus
Tongseng Sapi,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Bistik Daging Sapi,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus
Ayam Kuluyuk,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Goreng atau tumis
Rendang Daging Sapi (Asli Minang),Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Ayam Saus Tiram,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Ayam Popcorn,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Kikil Sapi Oseng Cabe Hijau,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Sate Taichan,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar
Rawon,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus
Nugget Ayam,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Goreng atau tumis
Ayam Rica-Rica,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Ayam Kecap Padang,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Ayam Cabe Ijo,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Gulai Kambing,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Ayam Goreng Lengkuas,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Asem-Asem Daging,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus
Ayam Goreng Tepung,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Goreng atau tumis
Ayam Woku,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus
Ayam Suwir Pedas Bali,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Pepes Ayam,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Ayam Goreng Kecap,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Chicken Katsu,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Goreng atau tumis
Beef Yakiniku,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Ceker Ayam Pedas,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Ayam Bakar Madu,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar
Semur Ayam,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Ayam Serundeng,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Sate Lilit,Tidak ada,Ikan dan Seafood,Tidak,Panggang atau bakar
Chicken Cordon Bleu,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Goreng atau tumis
Selat Solo,Lainnya,Lainnya,Ya,Lainnya
Empal Gentong,Lainnya,Ayam dan daging,Ya,Rebus atau kukus
Krengsengan Kambing,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Nasi Bakar Ayam Kemangi,Beras dan olahannya,Ayam dan daging,Ya,Panggang atau bakar
Nasi Gandul,Beras dan olahannya,Ayam dan daging,Tidak,Lainnya
Mie Sop Medan,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Rebus atau kukus
Koloke Ayam,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Lainnya
Tongseng Kambing,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus
Ayam Tuturuga,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus
Sate Komoh,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar
Rabeg Daging Sapi,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Hamburger Daging,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Panggang atau bakar
Garang Asem Ayam,Tidak ada,Ayam dan daging,Ya,Rebus atau kukus
Empal Gepuk,Tidak ada,Ayam dan daging,Tidak,Lainnya
Sate Ayam Madura,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar
Ayam Goreng Padang,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Daging Malbi Semur,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Dendeng Ragi,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Ayam Asam Manis,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Serundeng Daging,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Ayam Bumbu Rujak Kuah,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Ceker Ayam Mercon,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Iga Bakar Madu,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar
Sempol Ayam,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Goreng atau tumis
Sate Daging Sapi,Tidak ada,Ayam dan daging,Tidak,Panggang atau bakar
Dendeng Batokok,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Gulai Kikil (Tunjang),Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Opor Ayam Kuning,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Oseng Mercon,Tidak ada,Ayam dan daging,Tidak,Goreng atau tumis
Semur Bola Bola Daging,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Kari Ayam,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Kentang Daging Cincang,Lainnya,Ayam dan daging,Tidak,Goreng atau tumis
Rendang Bola Bola Daging,Tidak ada,Ayam dan daging,Tidak,Rebus atau kukus
Ikan Mas Pindang,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Ikan Mujair Goreng,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis
Ikan Bandeng Asam Manis,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Ikan Mas Bakar,Tidak ada,Ikan dan Seafood,Tidak,Panggang atau bakar
Ikan Mas Pesmol,Tidak ada,Ikan dan Seafood,Tidak,Lainnya
Ikan Bandeng Goreng,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis
Ikan Bandeng Pepes,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Ikan Mas Goreng,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis
Ikan Bandeng Gulai,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Ikan Kembung Pesmol,Tidak ada,Ikan dan Seafood,Tidak,Lainnya
Pepes Ikan Tongkol,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Pempek Panggang,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Panggang atau bakar
Gulai Ikan Mas,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Odeng Kuah Korea,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Rebus atau kukus
Ikan Nila Goreng,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis
Gulai Ikan Nila,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Pepes Ikan Nila,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Ikan Selar Bumbu Kuning,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Ikan Nila Asam Manis,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Rajungan Saus Padang,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Salmon Mentai,Tidak ada,Ikan dan Seafood,Tidak,Panggang atau bakar
Nasi Bakar Ikan Cakalang,Beras dan olahannya,Ikan dan Seafood,Ya,Panggang atau bakar
Sambal Cumi Pete Pedas,Tidak ada,Ikan dan Seafood,Ya,Goreng atau tumis
Pindang Bumbu Sarden,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Bakso Udang Goreng,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Goreng atau tumis
Belut Goreng,Tidak ada,Ikan dan Seafood,Tidak,Goreng atau tumis
Kerang Hijau Balado,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Kerang Dara Saus Pedas,Tidak ada,Ikan dan Seafood,Tidak,Rebus atau kukus
Tuna Bakar Kecap,Tidak ada,Ikan dan Seafood,Tidak,Panggang atau bakar
