Makanan,Karbohidrat,Protein,Sayur,Pengolahan
Muffin Coklat,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Cake Pisang (Banana Bread),"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Bolu Gulung Pandan Keju,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Donat Kentang,Lainnya,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Kue Kering Nastar,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Bika Ambon,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Bolu Koja,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Cente Manis,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Rebus atau kukus
Combro,Lainnya,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Sagu Keju,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Kue Sus Isi Vla,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Kue Bolu Sarang Semut (Caramel Cake),"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Roti Manis,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Chocolate Lava Cake,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Prol Tape,Lainnya,"Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Poffertjes,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Lainnya
Cheese Cake Kukus (Tanpa Oven),"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Putu Ayu,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Kue Putri Salju,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Choco Chip Cookies (Kukis),"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Bolu Tape,Lainnya,"Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Klapertart Klasik,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Pisang Bolen Keju,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Puding Brownies,Lainnya,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Pie Vla Buah Mini (Fruit Tartlet),"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Kue Ketan Hitam Kukus,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Bolu Marmer,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Brownies Panggang Klasik,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Pastel Isi Ayam,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Goreng atau tumis
Roti Sobek,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Bitterballen,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Roti Goreng Isi Cokelat,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis
Black Forest,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Kue Bangkit,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Kue Talam Tepung Beras Pandan,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Rebus atau kukus
Kue Mochi,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Rebus atau kukus
Kue Gabin Ragout,"Tepung, Mie, dan Pasta",Tidak ada,Ya,Goreng atau tumis
Roti Kasur,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Kue Leker,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Lainnya
Sponge Cake Lemon,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Kue Rangi,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Lainnya
Tiramisu,Lainnya,Tidak ada,Tidak,Lainnya
Chiffon Cake Pandan,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Risoles Ragout Sayur,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Ya,Goreng atau tumis
Kue Khamir (Kamir),Lainnya,"Tahu, tempe, dan telur",Tidak,Lainnya
Bingka Kentang,Lainnya,"Tahu, tempe, dan telur",Tidak,Lainnya
Kue Lumpur Labu Kuning,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Lainnya
Roti Pisang,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Egg Tart Portuguese,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Waffle,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Roti Boy O (Mocha Bun),"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Mille Crepes,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Lainnya
Brownies Kukus Lumer ala Amanda,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Bolu Kukus Gula Merah,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Kue Talam Singkong Gula Merah,Lainnya,Tidak ada,Tidak,Rebus atau kukus
Bolu Kukus Pandan,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Bolu Kukus Pisang,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Rebus atau kukus
Pancake Pisang,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Roti Isi Daging,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Goreng atau tumis
Kue Lapis Surabaya (Spikoe),"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Kue Lumpur Surga,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Carrot Cake,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Ya,Panggang atau bakar
Macaroon Vanilla Oreo,Lainnya,"Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Chocolate Mousse Cake,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Brudel Keju Kukus,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Kue Garpu,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Cloud Bread,Lainnya,"Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Almond Crispy,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Roti Jala Kari Daging,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Lainnya
Apple Pie,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Coklat Praline Kurma Kacang Mete,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Lainnya
Bolu Panggang Coklat,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Kue Tusuk Gigi,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Kue Tart Ulang Tahun,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Kue Cubit,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Sus Buah,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Bolu Pisang,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Kue Pancong Betawi,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Panggang atau bakar
Martabak Manis Cokelat Kacang,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Kue Nastar Keju,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Martabak Manis Keju Susu,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Lainnya
Getuk Pisang,Lainnya,Tidak ada,Tidak,Rebus atau kukus
Pukis Keju,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Panggang atau bakar
Candil Ubi Ungu,Lainnya,Tidak ada,Tidak,Rebus atau kukus
Lemang Tapai,Beras dan olahannya,Tidak ada,Tidak,Lainnya
Tela Tela Singkong,Lainnya,Tidak ada,Tidak,Goreng atau tumis
Madu Mongso,Beras dan olahannya,Tidak ada,Tidak,Rebus atau kukus
Ubi Goreng,Lainnya,Tidak ada,Tidak,Goreng atau tumis
Banana Roll,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis
Tape Ketan,Beras dan olahannya,Tidak ada,Tidak,Rebus atau kukus
Kacang Atom (Sukro) Homemade,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis
Kue Talam,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Rebus atau kukus
Bihun Gulung,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Wedang Angsle,Beras dan olahannya,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Telur Gulung,Lainnya,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Choi Pan,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Rebus atau kukus
Pisang Gulung,Lainnya,Tidak ada,Tidak,Goreng atau tumis
Lontong Medan,Beras dan olahannya,Tidak ada,Ya,Lainnya
Pisang Goreng Madu,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis
Cibay Pedas,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Goreng atau tumis
Timus Singkong,Lainnya,Tidak ada,Tidak,Goreng atau tumis
Cucuru Bayao,Lainnya,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Pisang Goreng Pontianak,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Panggang atau bakar
Sekoteng,Lainnya,Tidak ada,Tidak,Rebus atau kukus
Kue Mendut,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Rebus atau kukus
Rondo Royal (Tape Goreng),Lainnya,Tidak ada,Tidak,Goreng atau tumis
Lupis,Beras dan olahannya,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Kacang Telur,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Kue Cubit Green Tea,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Lainnya
Cilok Isi Kuah,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Rebus atau kukus
Pisang Epe,Lainnya,Tidak ada,Tidak,Panggang atau bakar
Rempeyek Kacang Tanah,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis
Kacang Disco,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis
Jasuke,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Rebus atau kukus
Kue Sakura (Bolu),"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Sala Lauak,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Goreng atau tumis
Biji Salak,Lainnya,Tidak ada,Tidak,Rebus atau kukus
Semar Mendem,Beras dan olahannya,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Kulit Pangsit,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis
Gandasturi,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Martabak Mesir,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Corndog,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis
Biji Ketapang,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Kacang Bawang,Lainnya,Tidak ada,Tidak,Goreng atau tumis
Kembang Goyang,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis
Timus Ubi,Lainnya,Ayam dan daging,Tidak,Goreng atau tumis
Peyek Udang,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Goreng atau tumis
Lumpia Basah,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Lainnya
Bubur Manado,Beras dan olahannya,Tidak ada,Ya,Rebus atau kukus
Barongko,Lainnya,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Keripik Bawang,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis
Keripik Pisang,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis
Cilok,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Rebus atau kukus
Getuk Goreng,Lainnya,Tidak ada,Tidak,Goreng atau tumis
Arem-Arem,Beras dan olahannya,Ayam dan daging,Tidak,Rebus atau kukus
Carang Gesing,Lainnya,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Bubur Ketan Hitam,Beras dan olahannya,Tidak ada,Tidak,Rebus atau kukus
Kue Mangkok,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Rebus atau kukus
Kue Pukis Coklat (Pancong),"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Lainnya
Cenil,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Rebus atau kukus
Dadar Gulung Isi Kelapa,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Lainnya
Bubur Kacang Hijau,Lainnya,Tidak ada,Tidak,Rebus atau kukus
Cheese Stick (Stik Keju),"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Cireng Isi,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis
Bakpia Teflon Khas Yogyakarta,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Panggang atau bakar
Pisang Bakar Penyet,Lainnya,Tidak ada,Tidak,Panggang atau bakar
Bubur Sumsum,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Rebus atau kukus
Onde-Onde Ketawa,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Bola Bola Coklat (Truffle),Lainnya,Tidak ada,Tidak,Lainnya
Jenang Gempol,Beras dan olahannya,Tidak ada,Tidak,Rebus atau kukus
Bubur Mutiara,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Rebus atau kukus
Lumpia Rebung,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Lainnya
Terang Bulan,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Lainnya
Martabak Bandung,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Lainnya
Samosa,"Tepung, Mie, dan Pasta",Ayam dan daging,Tidak,Goreng atau tumis
Risoles Mayo,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Misoa Goreng,"Tepung, Mie, dan Pasta",Ayam dan daging,Ya,Goreng atau tumis
Perkedel Bondon,Lainnya,"Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Bubur Candil,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Rebus atau kukus
Amparan Tatak,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Rebus atau kukus
Ketan Durian,Beras dan olahannya,Tidak ada,Tidak,Rebus atau kukus
Pisang Goreng Kipas,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis
Rujak Cuka,Lainnya,Tidak ada,Ya,Lainnya
Rujak Cireng,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Lainnya
Colenak,Lainnya,Tidak ada,Tidak,Panggang atau bakar
Singkong Keju,Lainnya,Lainnya,Tidak,Goreng atau tumis
Ketan Susu,Beras dan olahannya,Lainnya,Tidak,Rebus atau kukus
Cakwe,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis
Lumpia Semarang,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Kue Putu Bambu,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Rebus atau kukus
Tteokbokki,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Rebus atau kukus
Bakpao,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Rebus atau kukus
Bubur Kampiun,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Rebus atau kukus
Lumpia Sayur Goreng,"Tepung, Mie, dan Pasta",Tidak ada,Ya,Goreng atau tumis
Pisang Coklat Lumer (Piscok),"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis
Makaroni Telur (Maklor),"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Cimol,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis
Martabak Telur,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Gemblong Ketan Hitam,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis
Gemblong Ketan Putih,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis
Pisang Molen,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Puding Chocolatos,Tidak ada,Lainnya,Tidak,Rebus atau kukus
Panna Cotta Strawberry,Tidak ada,Lainnya,Tidak,Rebus atau kukus
Puding Alpukat,Tidak ada,Lainnya,Tidak,Rebus atau kukus
Butterscotch Pudding,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Puding Mozaik,Tidak ada,Lainnya,Tidak,Rebus atau kukus
Kembang Tahu Wedang (Tahok),"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Puding Tape Ketan,Beras dan olahannya,Lainnya,Tidak,Rebus atau kukus
Puding Coklat Susu,Tidak ada,Lainnya,Tidak,Rebus atau kukus
Puding Lumut,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Puding Buah Naga,Tidak ada,Lainnya,Tidak,Rebus atau kukus
Puding Kelapa Muda,Tidak ada,Lainnya,Tidak,Rebus atau kukus
Puding Pepaya,Tidak ada,Lainnya,Tidak,Rebus atau kukus
Puding Ombre Ubi Ungu,Lainnya,Lainnya,Tidak,Rebus atau kukus
Silky Puding,Tidak ada,Lainnya,Tidak,Rebus atau kukus
Puding Oreo,Tidak ada,Lainnya,Tidak,Rebus atau kukus
Puding Strawberry,Tidak ada,Lainnya,Tidak,Rebus atau kukus
Puding Sutra,Tidak ada,Lainnya,Tidak,Rebus atau kukus
Puding Casablanca Pandan Coklat,Tidak ada,Lainnya,Tidak,Rebus atau kukus
Puding Karamel (Caramel Custard Pudding),Tidak ada,Lainnya,Tidak,Rebus atau kukus
Puding Regal Kopi,Tidak ada,Lainnya,Tidak,Rebus atau kukus
Puding Labu,Tidak ada,Lainnya,Tidak,Rebus atau kukus
Puding Telor Ceplok,Tidak ada,"Tahu, tempe, dan telur",Tidak,Rebus atau kukus
Puding Susu,Tidak ada,Lainnya,Tidak,Rebus atau kukus
Es Lilin Nutrijel Pelangi,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Rebus atau kukus
Pudot (Puding Sedot),"Tepung, Mie, dan Pasta",Lainnya,Tidak,Rebus atau kukus
Puding Mangga,"Tepung, Mie, dan Pasta",Lainnya,Tidak,Rebus atau kukus
Puding Santan (Gula Merah),"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Rebus atau kukus
Rempeyek Teri,"Tepung, Mie, dan Pasta","Tahu, tempe, dan telur",Tidak,Goreng atau tumis
Keripik Bayam,"Tepung, Mie, dan Pasta",Tidak ada,Ya,Goreng atau tumis
Keripik Singkong,Lainnya,Tidak ada,Tidak,Goreng atau tumis
Rengginang,Beras dan olahannya,Tidak ada,Tidak,Rebus atau kukus
Kerupuk Udang,"Tepung, Mie, dan Pasta",Ikan dan Seafood,Tidak,Goreng atau tumis
Kentang Mustofa,Lainnya,Tidak ada,Tidak,Goreng atau tumis
Kerupuk Nasi,Beras dan olahannya,Tidak ada,Tidak,Goreng atau tumis
Keripik Singkong Balado,Lainnya,Tidak ada,Tidak,Goreng atau tumis
Sale Pisang,Lainnya,Tidak ada,Tidak,Panggang atau bakar
MPASI 6 Bulan (Bubur Kabocha),Lainnya,Ayam dan daging,Tidak,Rebus atau kukus
Rujak Mangga Muda,Tidak ada,Tidak ada,Tidak,Lainnya
Kolak Durian,Beras dan olahannya,Tidak ada,Tidak,Rebus atau kukus
Setup Pisang,Lainnya,Tidak ada,Tidak,Rebus atau kukus
Kolak Labu,Lainnya,Tidak ada,Tidak,Rebus atau kukus
Rujak Serut,Tidak ada,Tidak ada,Tidak,Lainnya
Overnight Oat,Lainnya,Tidak ada,Tidak,Lainnya
Nanas Goreng,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Goreng atau tumis
Sorbet Buah,Tidak ada,Tidak ada,Tidak,Lainnya
Manisan Kolang Kaling,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Rebus atau kukus
Manisan Mangga,Tidak ada,Tidak ada,Tidak,Rebus atau kukus
Mango Sticky Rice,Beras dan olahannya,Tidak ada,Tidak,Rebus atau kukus
Sarabba,Tidak ada,Tidak ada,Tidak,Rebus atau kukus
Rujak Buah,"Tepung, Mie, dan Pasta",Tidak ada,Tidak,Lainnya
Lotek,"Tepung, Mie, dan Pasta",Tidak ada,Ya,Lainnya
Guacamole,Tidak ada,Tidak ada,Tidak,Lainnya
Asinan Rambutan,Tidak ada,Tidak ada,Tidak,Lainnya
Asinan Buah,Tidak ada,Tidak ada,Tidak,Lainnya
Sop Buah,Tidak ada,Tidak ada,Tidak,Lainnya
